L        TxT           TxW1         W1xW1       
459   8.088590e-15  2.863007e-14  1.022394e-07
460   8.096858e-15  2.836243e-14  1.018306e-07
461   8.105141e-15  2.809781e-14  1.014242e-07
462   8.113524e-15  2.783617e-14  1.010201e-07
463   8.121891e-15  2.757745e-14  1.006183e-07
464   8.130327e-15  2.732164e-14  1.002189e-07
465   8.138716e-15  2.706867e-14  9.982174e-08
466   8.147115e-15  2.681851e-14  9.942687e-08
467   8.155467e-15  2.657113e-14  9.903426e-08
468   8.163715e-15  2.632648e-14  9.864388e-08
469   8.171860e-15  2.608452e-14  9.825572e-08
470   8.179846e-15  2.584522e-14  9.786977e-08
471   8.187618e-15  2.560854e-14  9.748600e-08
472   8.195179e-15  2.537444e-14  9.710440e-08
473   8.202475e-15  2.514288e-14  9.672495e-08
474   8.209509e-15  2.491384e-14  9.634764e-08
475   8.216256e-15  2.468726e-14  9.597244e-08
476   8.222719e-15  2.446312e-14  9.559934e-08
477   8.228848e-15  2.424138e-14  9.522833e-08
478   8.234673e-15  2.402202e-14  9.485939e-08
479   8.240197e-15  2.380498e-14  9.449250e-08
480   8.245343e-15  2.359025e-14  9.412764e-08
481   8.250170e-15  2.337778e-14  9.376481e-08
482   8.254573e-15  2.316755e-14  9.340397e-08
483   8.258583e-15  2.295952e-14  9.304513e-08
484   8.262153e-15  2.275367e-14  9.268826e-08
485   8.265234e-15  2.254995e-14  9.233335e-08
486   8.267858e-15  2.234834e-14  9.198039e-08
487   8.269979e-15  2.214881e-14  9.162935e-08
488   8.271575e-15  2.195133e-14  9.128023e-08
489   8.272680e-15  2.175587e-14  9.093300e-08
490   8.273247e-15  2.156240e-14  9.058766e-08
491   8.273282e-15  2.137088e-14  9.024419e-08
492   8.272792e-15  2.118130e-14  8.990258e-08
493   8.271783e-15  2.099362e-14  8.956281e-08
494   8.270236e-15  2.080782e-14  8.922486e-08
495   8.268131e-15  2.062386e-14  8.888874e-08
496   8.265476e-15  2.044173e-14  8.855441e-08
497   8.262225e-15  2.026138e-14  8.822187e-08
498   8.258387e-15  2.008281e-14  8.789110e-08
499   8.253943e-15  1.990598e-14  8.756210e-08
500   8.248875e-15  1.973086e-14  8.723484e-08
